8355880,2,618
8809880,3,89
12634000,2,385
12677120,2,227
15569000,3,112
17009960,3,659
19072320,2,349
24571480,3,226
26201760,1,311
27281040,3,681
30110480,2,436
31699680,3,136
31751880,1,542
32683760,2,60
34459880,2,310
35850600,3,87
37972200,2,51
38492520,2,74
41947000,3,255
42798480,1,278
45071200,3,98
45221080,1,610
47511120,2,100
47774640,2,595
49006520,3,248
52333560,2,452
53959160,1,401
58777560,1,67
60232120,2,175
62426640,2,180
67582720,1,248
67582760,3,185
71152480,2,275
71955040,2,448
76468800,1,543
77187000,1,50
80018760,1,467
82851360,3,57
83519600,1,141
89876840,2,155
90450440,2,319
97345960,2,593
99361720,2,178
101456600,2,67
101978360,3,116
102978440,2,259
103114920,3,584
116443800,2,615
118276280,3,99
120653120,3,70
124013080,2,146
124091440,3,128
127609160,3,377
128162000,2,58
128331240,3,79
130617400,1,100
130663400,3,80
132600600,2,249
134141680,2,184
134612280,2,314
138906280,2,131
147604480,3,147
150370480,2,406
150890400,3,707
151193160,2,98
152240720,3,571
156802480,3,263
157704400,3,99
163118040,3,122
163519600,1,61
163542320,2,126
166987000,1,56
168646160,3,287
169860400,1,121
171292320,2,211
174542960,1,224
175991640,3,233
176732920,2,69
177526800,2,589
177801240,1,302
178339920,3,582
180559000,3,694
182648800,3,113
186180640,3,58
187973840,2,122
194021040,3,638
194207160,1,468
194767800,3,665
197566200,1,81
202522440,3,223
204168920,3,580
205748600,2,58
209406200,3,296
210021880,3,334
212363800,2,444
212363800,3,509
212363800,1,503
213716680,1,226
221667000,1,77
225569240,2,525
228228480,2,94
228228400,3,149
229124320,1,98
231222800,1,389
236347160,3,107
236846640,3,59
239005960,1,135
239837160,2,677
240637200,2,120
241133320,3,343
242384600,2,443
246629960,1,142
247539120,2,255
247874640,2,80
249066040,2,548
249705640,3,656
249867560,1,110
251370760,2,563
252872280,1,78
253850080,2,346
254494880,2,318
255798080,2,62
256645800,3,474
256645840,2,472
256645840,1,544
257847880,3,51
260204640,2,68
260232840,2,593
260612480,3,61
260781640,2,529
261895560,1,122
262192880,3,91
262192760,2,109
262723320,1,55
264827200,3,593
265541960,1,309
266631680,3,730
271476000,2,242
278555720,3,96
280550200,2,421
281727040,2,469
287476480,2,185
287519720,3,274
287779840,1,218
289468520,3,58
289538080,2,209
290543920,3,50
290543480,2,124
296190360,2,457
302123880,1,133
304570160,1,615
308697160,3,115
308697120,1,129
308954880,2,110
309598680,1,70
310530080,2,80
312945080,2,575
315700720,2,478
316313600,3,87
317739800,2,73
317953000,3,422
325034240,3,166
325034160,1,262
325945400,1,212
337697200,3,138
339697960,2,471
341020120,3,97
341498040,2,74
343410480,3,209
344834080,3,449
344851320,1,107
345961720,2,67
347521920,3,689
349536120,3,671
351330840,3,462
352246720,2,515
352247280,1,70
357625600,3,51
360703400,1,212
361558840,1,131
367921640,3,334
369634560,2,101
373013000,3,164
374218160,2,91
378952800,2,119
385045520,1,180
386047880,2,593
395465160,1,64
396071880,2,96
398501640,2,56
404964080,2,108
406252920,3,695
409639080,1,633
409757160,3,86
410115200,1,222
415297440,3,185
416315160,1,150
420216120,2,56
420467280,2,90
421369560,3,265
430324120,2,198
431604960,2,152
433639000,3,214
440280680,3,153
440494600,3,110
440647360,3,57
442852000,2,69
443746040,1,363
443769920,1,65
446199080,3,363
446718000,1,58
451169800,3,703
451649160,1,173
452091640,2,108
457242480,3,56
458957560,2,413
460492840,1,188
463663440,2,75
464482120,2,385
467384920,2,124
469693440,2,536
470050160,2,341
476124840,1,375
477191600,3,56
479321400,1,96
479464800,1,188
479859480,2,528
479951080,2,59
481067960,2,630
481922360,3,315
482772800,3,552
483742880,2,152
484666200,3,218
486652760,3,610
486675280,3,544
488765920,2,176
494979240,3,58
496294200,3,58
496952800,1,70
501143240,3,616
502222240,3,507
502222360,2,249
503316440,3,228
506360520,3,635
509010280,2,58
509083120,2,105
510402400,1,629
512936120,2,458
512936560,3,100
514914640,2,147
515099160,3,310
516683160,3,188
516800680,2,250
520839760,1,77
521109040,3,136
522003480,2,599
522350080,3,672
524070240,1,89
525084440,2,565
525575080,2,70
527856000,3,702
528960640,2,103
532116760,1,166
532643840,3,130
533220520,1,145
540704800,3,510
542717640,3,83
548350960,3,684
549914520,3,537
551265280,2,114
552521200,1,270
559891480,2,549
561530440,2,59
563049680,2,77
573183480,1,91
579001800,3,105
581097400,3,226
582276840,3,668
584639160,3,54
586249320,1,66
586743200,3,70
589068280,2,60
594431240,2,59
594543560,3,90
600695520,2,158
602048920,3,66
602522760,2,131
603038440,1,511
604799440,2,67
605217400,2,579
607586400,1,201
609003120,3,253
612485320,3,123
612629640,3,64
615455920,1,131
616584920,1,559
617529680,3,310
619715960,3,683
622059240,2,104
624541440,3,94
629935560,3,78
633563280,2,558
636968840,1,496
636968920,3,279
639027720,1,183
646718920,2,66
651214880,1,152
655575800,3,78
656817520,2,86
661786600,3,270
663790680,2,235
670093480,2,277
671994280,3,53
672746400,3,712
674797880,1,465
676382400,2,509
679002280,1,188
679688400,1,572
684097360,3,503
687652600,3,461
687990800,3,73
689150080,3,331
700748160,2,263
702843400,2,56
703513480,2,528
707074960,3,552
708641560,1,277
710389880,1,276
710625720,3,133
710625560,1,347
714487080,2,200
717282520,3,304
718859800,2,340
721129640,3,144
723839440,1,504
726336440,2,85
733911240,1,66
734466320,3,62
735286000,2,125
738432600,2,192
739081000,1,117
739412320,3,95
740399760,2,81
742681840,3,128
745084560,1,85
746572600,3,108
748535280,2,134
752522640,3,667
753304200,2,137
753304240,3,103
754120600,2,475
754398840,3,181
754698360,2,116
754797640,1,101
756098600,3,657
756985960,3,78
764685080,1,611
764685320,3,189
767462720,2,262
767796680,2,151
767914280,2,391
769653200,3,65
769652640,2,432
771239320,2,104
775317320,1,202
775622960,2,148
775714800,2,109
778982240,3,80
779653480,3,94
779872800,1,72
783596040,2,549
789679480,3,725
789797680,2,344
790548400,1,88
798601720,3,630
802927960,3,62
803805760,2,113
804344440,2,616
806314280,3,241
811370760,1,109
815501840,2,423
816575400,1,52
816772440,3,105
818849680,1,480
818849680,3,629
824632920,2,558
827126880,3,170
828118080,1,594
830229160,3,201
831784920,1,549
832554560,2,325
834199960,1,75
838180040,2,213
838902320,3,101
841635840,1,302
844509640,2,586
846036640,2,207
847474120,2,551
852569280,3,189
852777360,2,265
854112480,3,143
855187840,3,715
857077880,3,83
857761360,3,505
863438360,1,327
872429080,3,249
872788480,2,213
873301560,2,474
873301520,3,495
873864040,2,541
875864760,3,477
877356080,3,582
877356400,2,145
880153840,1,61
891000040,3,62
891922120,2,587
892665760,1,118
897143360,1,626
901527080,2,483
901527240,3,187
906205200,2,298
906205160,3,339
906440440,2,135
908646520,2,567
908646600,1,356
909947240,2,65
912354640,1,212
914604040,1,83
916928520,2,103
917707480,1,116
917804720,2,157
918619640,2,89
920086400,2,624
922644160,3,698
924438440,2,97
924677080,3,52
924939400,3,80
928109400,3,678
931670720,3,210
933596440,2,76
935362680,3,533
935371720,3,123
937167840,3,52
937583960,2,132
938078120,3,194
943672760,1,86
948069120,2,425
951683800,3,63
954564680,3,672
961996520,3,101
966422960,2,483
968273880,1,289
968993400,3,90
969553560,2,573
972125040,1,56
973566200,3,530
973849760,2,72
976614480,1,58
983488920,2,210
995876680,2,504
997881880,2,59
997881600,3,98
998561320,1,76
1000489840,3,188
1000873080,3,687
1006713840,3,163
1006902880,2,75
1009062200,2,336
1009084360,3,158
1014360800,2,587
1018326400,1,80
1020823840,3,65
1021127920,2,119
1022607920,2,313
1023095840,3,80
1023730440,3,80
1024574040,3,286
1025949920,3,199
1028744480,2,596
1034301680,1,117
1034385000,3,60
1040038440,2,532
1041660720,3,52
1044860720,1,225
1045342480,2,125
1045855360,3,51
1051689240,1,323
1052207520,3,134
1052589000,1,255
1052741400,2,74
1056515800,2,288
1059233560,2,383
1062558920,3,716
1062559000,2,479
1062993160,3,262
1063251480,2,67
